Date;Open;High;Low;Close
08.08.2018;6746.850098;6746.850098;6226.220215;6305.799805
09.08.2018;6305.560059;6625.729980;6249.069824;6568.229980
10.08.2018;6571.419922;6591.259766;6124.520020;6184.709961
11.08.2018;6185.790039;6455.740234;6109.029785;6295.729980
12.08.2018;6283.649902;6409.850098;6237.500000;6322.689941
13.08.2018;6341.359863;6537.049805;6225.720215;6297.569824
14.08.2018;6287.660156;6287.939941;5971.049805;6199.709961
15.08.2018;6221.419922;6588.490234;6221.419922;6308.520020
16.08.2018;6294.229980;6473.500000;6276.410156;6334.729980
17.08.2018;6340.910156;6582.500000;6324.970215;6580.629883
18.08.2018;6583.430176;6617.350098;6353.729980;6423.759766
19.08.2018;6422.569824;6537.979980;6361.549805;6506.069824
20.08.2018;6500.509766;6536.919922;6297.930176;6308.529785
21.08.2018;6301.069824;6500.870117;6298.240234;6488.759766
22.08.2018;6486.250000;6816.790039;6310.109863;6376.709961
23.08.2018;6371.339844;6546.540039;6371.339844;6534.879883
24.08.2018;6551.520020;6719.959961;6498.640137;6719.959961
25.08.2018;6719.950195;6789.629883;6700.959961;6763.189941
26.08.2018;6754.640137;6774.750000;6620.750000;6707.259766
27.08.2018;6710.799805;6884.640137;6689.709961;6884.640137
28.08.2018;6891.080078;7109.560059;6882.339844;7096.279785
29.08.2018;7091.709961;7113.299805;6970.819824;7047.160156
30.08.2018;7043.759766;7072.689941;6834.689941;6978.229980
31.08.2018;6973.970215;7057.169922;6920.160156;7037.580078
01.09.2018;7044.810059;7242.290039;7038.049805;7193.250000
02.09.2018;7189.580078;7306.310059;7132.160156;7272.720215
03.09.2018;7279.029785;7317.939941;7208.149902;7260.060059
04.09.2018;7263.000000;7388.259766;7255.439941;7361.660156
05.09.2018;7361.459961;7388.430176;6792.830078;6792.830078
06.09.2018;6755.140137;6755.140137;6404.720215;6529.169922
07.09.2018;6528.919922;6555.290039;6396.870117;6467.069824
08.09.2018;6460.169922;6534.250000;6197.520020;6225.979980
09.09.2018;6223.379883;6446.259766;6201.220215;6300.859863
10.09.2018;6301.569824;6374.979980;6292.759766;6329.700195
11.09.2018;6331.879883;6398.919922;6260.209961;6321.200195
12.09.2018;6317.009766;6363.870117;6265.089844;6351.799805
13.09.2018;6354.240234;6535.410156;6354.240234;6517.310059
14.09.2018;6515.410156;6596.100098;6456.169922;6512.709961
15.09.2018;6509.399902;6561.720215;6493.549805;6543.200195
16.09.2018;6536.680176;6544.330078;6460.100098;6517.180176
17.09.2018;6514.060059;6540.209961;6257.520020;6281.200195
18.09.2018;6280.910156;6384.180176;6265.709961;6371.299805
19.09.2018;6371.850098;6448.459961;6208.339844;6398.540039
20.09.2018;6398.850098;6529.259766;6395.950195;6519.669922
21.09.2018;6513.870117;6794.330078;6496.359863;6734.950195
22.09.2018;6735.049805;6814.560059;6616.799805;6721.979980
23.09.2018;6715.319824;6766.149902;6679.419922;6710.629883
24.09.2018;6704.770020;6713.560059;6580.899902;6595.410156
25.09.2018;6603.640137;6603.640137;6381.859863;6446.470215
26.09.2018;6452.790039;6585.910156;6397.890137;6495.000000
27.09.2018;6495.290039;6712.100098;6464.950195;6676.750000
28.09.2018;6678.750000;6785.029785;6598.319824;6644.129883
29.09.2018;6643.100098;6643.100098;6511.649902;6601.959961
30.09.2018;6604.709961;6643.779785;6566.540039;6625.560059
01.10.2018;6619.850098;6653.299805;6549.080078;6589.620117
02.10.2018;6593.240234;6611.839844;6537.899902;6556.100098
03.10.2018;6553.859863;6571.459961;6454.029785;6502.589844
04.10.2018;6497.910156;6603.310059;6497.910156;6576.689941
05.10.2018;6574.149902;6623.620117;6557.410156;6622.479980
06.10.2018;6622.450195;6628.540039;6577.799805;6588.310059
07.10.2018;6590.680176;6641.490234;6557.040039;6602.950195
08.10.2018;6600.189941;6675.060059;6576.040039;6652.229980
09.10.2018;6653.080078;6661.410156;6606.939941;6642.640137
10.10.2018;6640.290039;6640.290039;6538.959961;6585.529785
11.10.2018;6586.740234;6586.740234;6243.740234;6256.240234
12.10.2018;6239.250000;6328.500000;6236.470215;6274.580078
13.10.2018;6278.080078;6308.509766;6259.810059;6285.990234
14.10.2018;6288.490234;6363.209961;6280.149902;6290.930176
15.10.2018;6292.640137;6965.060059;6258.680176;6596.540039
16.10.2018;6601.410156;6673.589844;6571.370117;6596.109863
17.10.2018;6590.520020;6601.209961;6517.450195;6544.430176
18.10.2018;6542.330078;6567.540039;6450.040039;6476.709961
19.10.2018;6478.069824;6493.680176;6445.310059;6465.410156
20.10.2018;6460.919922;6497.720215;6449.000000;6489.189941
21.10.2018;6490.089844;6556.379883;6476.000000;6482.350098
22.10.2018;6486.049805;6543.799805;6462.979980;6487.160156
23.10.2018;6472.359863;6506.009766;6451.270020;6475.740234
24.10.2018;6478.890137;6521.990234;6468.859863;6495.839844
25.10.2018;6484.649902;6504.649902;6447.029785;6476.290039
26.10.2018;6468.439941;6498.290039;6449.609863;6474.750000
27.10.2018;6480.839844;6507.410156;6453.529785;6480.379883
28.10.2018;6482.660156;6502.279785;6447.910156;6486.390137
29.10.2018;6492.350098;6503.600098;6306.990234;6332.629883
30.10.2018;6337.040039;6364.990234;6310.140137;6334.270020
31.10.2018;6336.990234;6349.160156;6316.879883;6317.609863
01.11.2018;6318.140137;6547.140137;6311.830078;6377.779785
02.11.2018;6378.919922;6396.859863;6327.379883;6388.439941
03.11.2018;6387.240234;6400.069824;6342.370117;6361.259766
04.11.2018;6365.470215;6388.629883;6294.569824;6376.129883
05.11.2018;6363.620117;6480.589844;6363.620117;6419.660156
06.11.2018;6433.379883;6463.549805;6408.160156;6461.009766
07.11.2018;6468.500000;6552.160156;6468.310059;6530.140137
08.11.2018;6522.270020;6536.919922;6438.529785;6453.720215
09.11.2018;6442.600098;6456.459961;6373.370117;6385.620117
10.11.2018;6386.129883;6437.279785;6385.310059;6409.220215
11.11.2018;6413.629883;6423.250000;6350.169922;6411.270020
12.11.2018;6411.759766;6434.209961;6360.470215;6371.270020
13.11.2018;6373.189941;6395.270020;6342.669922;6359.490234
14.11.2018;6351.240234;6371.549805;5544.089844;5738.350098
15.11.2018;5736.149902;5774.819824;5358.379883;5648.029785
16.11.2018;5645.319824;5657.020020;5498.939941;5575.549805
17.11.2018;5578.580078;5578.580078;5519.560059;5554.330078
18.11.2018;5559.740234;5653.609863;5559.740234;5623.540039
19.11.2018;5620.779785;5620.779785;4842.910156;4871.490234
20.11.2018;4863.930176;4951.609863;4272.109863;4451.870117
21.11.2018;4465.540039;4675.729980;4343.979980;4602.169922
22.11.2018;4611.569824;4629.640137;4365.640137;4365.939941
23.11.2018;4360.700195;4396.419922;4195.680176;4347.109863
24.11.2018;4347.689941;4413.089844;3795.159912;3880.760010
25.11.2018;3880.780029;4120.870117;3585.060059;4009.969971
26.11.2018;4015.070068;4107.140137;3643.919922;3779.129883
27.11.2018;3765.949951;3862.959961;3661.010010;3820.719971
28.11.2018;3822.469971;4385.899902;3822.469971;4257.419922
29.11.2018;4269.004395;4413.020508;4145.765137;4278.846680
30.11.2018;4289.088867;4322.976563;3942.822021;4017.268555
01.12.2018;4024.464355;4309.377441;3969.710693;4214.671875
02.12.2018;4200.733398;4301.519531;4110.978516;4139.877930
03.12.2018;4147.323730;4155.979492;3840.446289;3894.130859
04.12.2018;3886.294922;4075.627686;3832.750000;3956.893799
05.12.2018;3958.894775;3969.535889;3753.994873;3753.994873
06.12.2018;3754.074463;3874.966064;3521.101807;3521.101807
07.12.2018;3512.590332;3512.590332;3280.228760;3419.937256
08.12.2018;3421.910400;3506.043457;3350.650635;3476.114746
09.12.2018;3473.227539;3685.305664;3469.094238;3614.234375
10.12.2018;3612.046387;3647.332520;3470.144531;3502.656006
11.12.2018;3497.554688;3513.185059;3392.250000;3424.588135
12.12.2018;3421.458252;3534.228516;3413.481445;3486.950195
13.12.2018;3487.879395;3489.739502;3298.132080;3313.677246
14.12.2018;3311.751953;3329.555908;3206.542236;3242.484863
15.12.2018;3243.997559;3275.377930;3191.303467;3236.761719
16.12.2018;3236.274658;3305.753174;3233.819824;3252.839111
17.12.2018;3253.123047;3597.917969;3253.123047;3545.864746
18.12.2018;3544.761475;3701.349365;3487.169189;3696.059082
19.12.2018;3706.824951;3949.322998;3687.229980;3745.950684
20.12.2018;3742.195068;4191.228516;3728.974609;4134.441406
21.12.2018;4133.703613;4198.429688;3850.946289;3896.543701
22.12.2018;3898.083740;4014.182617;3855.739014;4014.182617
23.12.2018;4020.994629;4085.723633;3976.405762;3998.980225
24.12.2018;4000.331787;4271.792480;4000.331787;4078.599121
25.12.2018;4081.030518;4089.561523;3760.020508;3815.490723
26.12.2018;3819.666748;3893.359619;3769.863770;3857.297607
27.12.2018;3854.688477;3874.416992;3645.448486;3654.833496
28.12.2018;3653.131836;3956.135986;3642.632080;3923.918701
29.12.2018;3932.491699;3963.758789;3820.408691;3820.408691
30.12.2018;3822.384766;3901.908936;3797.219238;3865.952637
31.12.2018;3866.839111;3868.742920;3725.867432;3742.700439
01.01.2019;3746.713379;3850.913818;3707.231201;3843.520020
02.01.2019;3849.216309;3947.981201;3817.409424;3943.409424
03.01.2019;3931.048584;3935.685059;3826.222900;3836.741211
04.01.2019;3832.040039;3865.934570;3783.853760;3857.717529
05.01.2019;3851.973877;3904.903076;3836.900146;3845.194580
06.01.2019;3836.519043;4093.297363;3826.513184;4076.632568
07.01.2019;4078.584961;4092.613525;4020.894043;4025.248291
08.01.2019;4028.472168;4109.020996;3996.955322;4030.847900
09.01.2019;4031.552002;4068.403564;4022.662842;4035.296387
10.01.2019;4034.411377;4064.066650;3659.174561;3678.924561
11.01.2019;3674.015381;3713.881836;3653.069824;3687.365479
12.01.2019;3686.973145;3698.978271;3653.810791;3661.301025
13.01.2019;3658.868164;3674.760010;3544.927246;3552.953125
14.01.2019;3557.311035;3727.836182;3552.285156;3706.052246
15.01.2019;3704.216309;3720.153320;3619.949219;3630.675293
16.01.2019;3631.509766;3685.777100;3624.673340;3655.006836
17.01.2019;3651.871094;3680.135986;3621.960938;3678.563965
18.01.2019;3677.990479;3682.520020;3637.080811;3657.839355
19.01.2019;3652.377930;3758.533447;3652.377930;3728.568359
20.01.2019;3725.446045;3743.387939;3583.019531;3601.013672
21.01.2019;3600.372803;3608.840820;3558.537109;3576.032471
22.01.2019;3575.081299;3620.746582;3539.721436;3604.577148
23.01.2019;3605.557129;3623.067871;3565.313965;3585.123047
24.01.2019;3584.500244;3616.087402;3569.092773;3600.865479
25.01.2019;3607.390381;3612.927734;3575.597412;3599.765869
26.01.2019;3599.715332;3654.933105;3593.345947;3602.460449
27.01.2019;3604.687256;3612.671387;3567.245850;3583.965820
28.01.2019;3584.283203;3586.750977;3439.232910;3470.450439
29.01.2019;3468.870117;3476.065430;3400.819824;3448.116943
30.01.2019;3443.896973;3495.174805;3429.387939;3486.181641
